longitude,latitude,system,turbidity,B2,B3,B4,dwl,ndti
-96.15159,33.64831,bonham,5.01,1273.5,1302.5,1193.5,551.82684326171875,-0.04366987179487179
-96.15152,33.64832,bonham,5.02,1272.5,1300,1187.5,550.05548095703125,-0.04522613065326633
-96.15146,33.64832,bonham,5,1272.5,1300,1187.5,550.05548095703125,-0.04522613065326633
-96.1514,33.64833,bonham,4.98,1273.5,1295,1184,547.95379638671875,-0.04477611940298507
-96.15133,33.64833,bonham,4.96,1270,1307.5,1189.5,551.95947265625,-0.04725670804965959
-96.15127,33.64834,bonham,4.97,1270,1307.5,1189.5,551.95947265625,-0.04725670804965959
-96.15121,33.64835,bonham,4.96,1282,1302.5,1194,549.84185791015625,-0.04346084518325656
-96.15114,33.64835,bonham,4.95,1282,1302.5,1194,549.84185791015625,-0.04346084518325656
-96.15108,33.64836,bonham,4.96,1295,1307.5,1192.5,546.53668212890625,-0.046
-96.15101,33.64837,bonham,4.98,1295,1307.5,1192.5,546.53668212890625,-0.046
-96.15095,33.64837,bonham,4.97,1292.5,1299,1195.5,546.4925537109375,-0.04149128081779916
-96.15088,33.64838,bonham,4.97,1289.5,1299.5,1202,549.716064453125,-0.03897661403158105
-96.15082,33.64839,bonham,4.98,1289.5,1299.5,1202,549.716064453125,-0.03897661403158105
-96.15076,33.64839,bonham,4.97,1290.5,1308.5,1201.5,550.20953369140625,-0.042629482071713146
-96.15069,33.6484,bonham,4.98,1285.5,1307.5,1191,548.13519287109375,-0.04662797678607164
-96.15063,33.64841,bonham,4.98,1284,1307,1181.5,545.25555419921875,-0.0504319871408479
-96.15056,33.64841,bonham,4.99,1284,1307,1181.5,545.25555419921875,-0.0504319871408479
-96.1505,33.64842,bonham,5,1272,1301.5,1194,551.7462158203125,-0.04307753957122821
-96.15044,33.64843,bonham,5,1268,1294.5,1192,551.3936767578125,-0.04122260205107581
-96.15037,33.64844,bonham,5,1268,1294.5,1192,551.3936767578125,-0.04122260205107581
-96.15031,33.64845,bonham,5.02,1260,1288.5,1187.5,552.23199462890625,-0.04079159935379645
-96.15024,33.64845,bonham,5.02,1284.5,1280,1175.5,538.79571533203125,-0.04255752392588068
-96.15018,33.64846,bonham,5.01,1271.5,1273,1167,539.356201171875,-0.04344262295081967
-96.15011,33.64846,bonham,4.99,1271.5,1273,1167,539.356201171875,-0.04344262295081967
-96.15005,33.64847,bonham,4.98,1270.5,1271,1160.5,536.06561279296875,-0.045445198437178695
-96.14998,33.64848,bonham,4.98,1253,1235.5,1154.5,529.8143310546875,-0.033891213389121336
-96.14991,33.64848,bonham,4.99,1249,1221.5,1150,523.58056640625,-0.030149694286316676
